Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Low Places,Home Care High Places,Transition Care Places,Provider Name,Organisation Type,ABS Remoteness,2014-15 Australian Government Funding
Salisbury Private Nursing Home,147 Frost Road,,SALISBURY SOUTH,SA,5106,Metropolitan North,Residential,76,,,,Salisbury Private Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,565,474"
Salvation Army Crossroads Care Packages,152 Churchill Avenue,,BRAYBROOK,VIC,3019,Western Metro,Home Care Places,,25,,,The Salvation Army (Victoria) Property Trust,Religious,Major Cities of Australia,"$328,543"
Samarinda Lodge,286 High Street,,ASHBURTON,VIC,3147,Eastern Metro,Residential,40,,,,Samarinda Aged Services Inc,Community Based,Major Cities of Australia,"$2,092,526"
Sambell Lodge,1 South Terrace,,CLIFTON HILL,VIC,3068,Northern Metro,Residential,43,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,"$2,011,410"
San Carlo Homes for the Aged,970 Plenty Road,,SOUTH MORANG,VIC,3752,Northern Metro,Residential,106,,,,San Carlo Homes for the Aged Ltd,Religious,Major Cities of Australia,"$6,961,761"
Sandbrook Assisted Aged Care,10 Executive Drive,,BURLEIGH WATERS,QLD,4220,South Coast,Residential,115,,,,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,658,384"
Sandhill Aged Care Facility,25 Waveney Street,,SOUTH LAUNCESTON,TAS,7249,Northern,Residential,134,,,,Aged Care Services Four (Park Group) Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$7,560,361"
Sandhurst Aged Care,20 Herbert Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Residential,30,,,,Aged Care Services 22 (Sandhurst) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,091,408"
Sandown Apartments,1  SOUTHERWOOD DRIVE,,SANDY BAY,TAS,7005,Southern,Residential,60,,,,Southern Cross Care (Tas) Inc,Religious,Inner Regional Australia,"$3,138,327"
Sandpiper Lodge,35 Washington Street,,GOOLWA,SA,5214,"Hills, Mallee & Southern",Residential,81,,,,Southern Cross Care (SA & NT) Incorporated,Religious,Inner Regional Australia,"$5,129,851"
Sandy Boyd Hostel,1 PARK Road,,PALM ISLAND,QLD,4816,Northern,National Aboriginal and Torres Strait Islander Aged Care Program,15,,,,Palm Island Aboriginal Council,Community Based,Remote Australia,"$1,085,503"
Sapphire Coast Home Services,24 Hill Street,,BEGA,NSW,2550,Southern Highlands,Home Care Places,,43,6,,Bega & District Nursing Home Ltd,Community Based,Outer Regional Australia,"$669,763"
Sarina Aged Residential Home,18-32 Hoey Street,,SARINA,QLD,4737,Mackay,Residential,48,,,,Sarina Aged Residential Home Inc,Community Based,Outer Regional Australia,"$2,129,220"
Scalabrini Village Allambie Heights,167 Allambie Road,,ALLAMBIE HEIGHTS,NSW,2100,Northern Sydney,Residential,86,,,,Scalabrini Village Ltd,Religious,Major Cities of Australia,"$4,866,041"
Scalabrini Village Chipping Norton,199 EPSOM Road,,CHIPPING NORTON,NSW,2170,South West Sydney,Residential,104,,,,Scalabrini Village Ltd,Religious,Major Cities of Australia,"$7,207,820"
Scalabrini Village Griffith,650 Oakes Road,,YOOGALI,NSW,2680,Riverina/Murray,Home Care Places,,12,,,Scalabrini Village Ltd,Religious,Outer Regional Australia,"$2,690"
Scalabrini Village Griffith,650 Oakes Road,,YOOGALI,NSW,2680,Riverina/Murray,Residential,90,,,,Scalabrini Village Ltd,Religious,Outer Regional Australia,"$6,153,302"
Scalabrini Village Nursing Home (Austral),65 Edmondson Avenue,,AUSTRAL,NSW,2179,South West Sydney,Residential,186,,,,Scalabrini Village Ltd,Religious,Major Cities of Australia,"$10,774,541"
Scalabrini Village Nursing Home (Bexley),34 HARROW Road,,BEXLEY,NSW,2207,South East Sydney,Residential,177,,,,Scalabrini Village Ltd,Religious,Major Cities of Australia,"$9,504,352"
Scalabrini Village Nursing Home (Drummoyne),80 St Georges Crescent,,DRUMMOYNE,NSW,2047,Inner West,Residential,115,,,,Scalabrini Village Ltd,Religious,Major Cities of Australia,"$7,668,567"
SCC (VIC) - Eastern Metro General,"Suite 8, 50 New Street",,RINGWOOD,VIC,3134,Eastern Metro,Home Care Places,,164,10,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$2,471,984"
SCC (VIC) - Outer Southern Metropolitan CACP Program,Level 1,500 Evans Road,LYNBROOK,VIC,3975,Southern Metro,Home Care Places,,20,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$276,324"
SCC (VIC) Barwon EACH Dementia Program,Suite 7/267 Ryrie Street,,GEELONG,VIC,3220,Barwon-South Western,Home Care Places,,,13,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$647,979"
SCC (VIC) Barwon EACH Program,Suite 7 / 1st Floor,267 Ryrie Street,GEELONG,VIC,3220,Barwon-South Western,Home Care Places,,,12,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$553,684"
SCC (VIC) Barwon General,Suite 7 / 1st Floor,267 Ryrie Street,GEELONG,VIC,3220,Barwon-South Western,Home Care Places,,73,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$919,476"
SCC (VIC) Barwon Housing Linked,Suite 7 / 1st Floor,267 Ryrie Street,GEELONG,VIC,3220,Barwon-South Western,Home Care Places,,30,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$374,714"
SCC (VIC) Eastern EACH Dementia Program,"Suite 8, 50 New Street",,RINGWOOD,VIC,3134,Eastern Metro,Home Care Places,,,25,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$1,235,346"
SCC (VIC)- Eastern Metro EACH,"Suite 8, 50 New Street",,RINGWOOD,VIC,3134,Eastern Metro,Home Care Places,,,15,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$709,600"
SCC (VIC) Gippsland,241 Princes Drive,,MORWELL,VIC,3840,Gippsland,Home Care Places,,7,31,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$1,491,662"
SCC (VIC) Gippsland EACH Dementia Program,241 Princes Drive,,MORWELL,VIC,3840,Gippsland,Home Care Places,,,21,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$1,038,926"
SCC (VIC) Gippsland Region CACP Program,241 Princes Drive,,MORWELL,VIC,3840,Gippsland,Home Care Places,,99,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$1,401,334"
SCC (VIC) Gippsland South CACP Program-Rural and Remote,241 Princes Drive,,MORWELL,VIC,3840,Gippsland,Home Care Places,,12,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$169,794"
SCC (VIC) Grampians Region CACP Program,802 Armstrong Street North,,BALLARAT NORTH,VIC,3350,Grampians,Home Care Places,,68,7,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$1,177,841"
SCC (VIC) Hume Regional EACH Program,25 Graham Street,,SHEPPARTON,VIC,3630,Hume,Home Care Places,,,1,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$50,396"
SCC (VIC) Inner East Region CACP Program,"Suite 8, 50 New Street",,RINGWOOD,VIC,3134,Eastern Metro,Home Care Places,,20,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$267,357"
SCC (VIC) Loreto CACP Program,"802 Armstrong Street, North",,SOLDIERS HILL,VIC,3350,Grampians,Home Care Places,,10,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$141,784"
SCC (VIC) Northern EACH Dementia Program,677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care Places,,,23,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$1,090,282"
SCC (VIC) Northern Metro Housing Linked,677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care Places,,39,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$532,699"
SCC (VIC) Northern Metro-Italian,677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care Places,,65,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$882,774"
SCC (VIC) Northern Regional EACH Program,677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care Places,,,37,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$1,699,551"
SCC (VIC) Outer Eastern General,"Suite 8, 50 New Street",,RINGWOOD,VIC,3134,Eastern Metro,Home Care Places,,70,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$931,503"
SCC (VIC) Southern EACH Dementia Program,Level 1,500 Evans Road,LYNBROOK,VIC,3975,Southern Metro,Home Care Places,,,20,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$998,876"
SCC (VIC) Southern EACH Program,Level 1,500 Evans Road,LYNBROOK,VIC,3975,Southern Metro,Home Care Places,,,40,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$1,850,588"
SCC (VIC) Southern Metro-General,Level 1,500 Evans Road,LYNBROOK,VIC,3975,Southern Metro,Home Care Places,,192,9,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$2,895,424"
SCC (VIC) Southern Metro-Mornington Peninsula,Level 1,500 Evans Road,LYNBROOK,VIC,3975,Southern Metro,Home Care Places,,149,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$2,058,596"
SCC (VIC) Western Metro Region,677 The Boulevard,,EAGLEMONT,VIC,3084,Western Metro,Home Care Places,,10,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$111,619"
SCC (VIC)-Northern Metro General,677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care Places,,116,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,"$1,532,282"
SCC Grampians EACH Program,"802 Armstrong Street, North",,SOLDIERS HILL,VIC,3350,Grampians,Home Care Places,,,9,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$419,520"
SCC Grampians EACHD Program,"Armstrong Street, North",,SOLDIERS HILL,VIC,3350,Grampians,Home Care Places,,,8,,Southern Cross Care (VIC),Religious,Inner Regional Australia,"$392,317"
SCC Homecare (Darwin level1 - 4),11  WARATAH CRESCENT,,FANNIE BAY,NT,0820,Darwin,Home Care Places,,7,9,,Southern Cross Care (SA & NT) Incorporated,Religious,Outer Regional Australia,"$234,885"
SCC Homecare (East Level 1-4),366 Marion Road,,NORTH PLYMPTON,SA,5037,Metropolitan East,Home Care Places,,64,13,,Southern Cross Care (SA & NT) Incorporated,Religious,Major Cities of Australia,"$934,532"
SCC Homecare (Fleurieu Level 2),1 Wildman Street,,GOOLWA,SA,5214,"Hills, Mallee & Southern",Home Care Places,,29,,,Southern Cross Care (SA & NT) Incorporated,Religious,Inner Regional Australia,"$394,925"
SCC Homecare (Fleurieu Level 4),1 Wildman Street,,GOOLWA,SA,5214,"Hills, Mallee & Southern",Home Care Places,,,22,,Southern Cross Care (SA & NT) Incorporated,Religious,Inner Regional Australia,"$1,040,441"
SCC Homecare (North Level 1 -4),366 Marion Road,,NORTH PLYMPTON,SA,5037,Metropolitan North,Home Care Places,,65,4,,Southern Cross Care (SA & NT) Incorporated,Religious,Major Cities of Australia,"$612,073"
SCC Homecare (North Level 4),366 Marion Road,,NORTH PLYMPTON,SA,5037,Metropolitan North,Home Care Places,,,10,,Southern Cross Care (SA & NT) Incorporated,Religious,Major Cities of Australia,"$424,719"
SCC Homecare (South level 2),151 Greenhill Road,,PARKSIDE,SA,5064,Metropolitan South,Home Care Places,,30,,,Southern Cross Care (SA & NT) Incorporated,Religious,Major Cities of Australia,"$281,750"
SCC Homecare (West Level 2),366 MARION Road,,PLYMPTON,SA,5038,Metropolitan West,Home Care Places,,39,,,Southern Cross Care (SA & NT) Incorporated,Religious,Major Cities of Australia,"$354,270"
SCCQ Inc BN Home Care,62 Sanders Street,,UPPER MT GRAVATT,QLD,4122,Brisbane North,Home Care Places,,29,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$145,002"
SCCQ Inc DD Home Care,22-33 Zeller Street,,CHINCHILLA,QLD,4413,Darling Downs,Home Care Places,,12,,,Southern Cross Care (QLD) Inc,Religious,Outer Regional Australia,"$47,771"
SCCQ Inc WM Home Care,8 Mortimer Street,,IPSWICH,QLD,4305,West Moreton,Home Care Places,,30,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,"$356,963"
Scottvale Aged Care,71 Scott Street,,DANDENONG,VIC,3175,Southern Metro,Residential,110,,,,Aged Care Services 32 (Scottvale) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,149,424"
Sea Views Manor,77-79 Tareeda Way,,OCEAN GROVE,VIC,3226,Barwon-South Western,Residential,150,,,,Wickro Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$7,460,622"
Seabeach Gardens Lodge,26 Darley Street,,MONA VALE,NSW,2103,Northern Sydney,Residential,33,,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,330,811"
Seabrae, BUCHANAN STREET,,ROTHWELL,QLD,4022,Cabool,Residential,94,,,,Tingari Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,096,085"
Seabrook,15-29 Bonton Avenue,,DECEPTION BAY,QLD,4508,Cabool,Residential,122,,,,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,658,506"
Seaforth Gardens Senior Citizens' Residence,2542 Albany Highway,,GOSNELLS,WA,6110,Metropolitan South East,Residential,61,,,,The Salvation Army (Western Australia) Property Trust,Religious,Major Cities of Australia,"$2,939,512"
Seaton Nursing Home,172 Trimmer Parade,,SEATON,SA,5023,Metropolitan West,Residential,52,,,,UnitingCare Wesley Port Adelaide Incorporated,Religious,Major Cities of Australia,"$3,140,997"
Seaview Village Aged Care Service,80 Seaview Terrace,,THEVENARD,SA,5690,Eyre Peninsula,National Aboriginal and Torres Strait Islander Aged Care Program,9,7,,,Ceduna Koonibba Aboriginal Health Service (Aboriginal Corporation),Community Based,Very Remote Australia,"$663,029"
Second Avenue Hostel,51-53 Second Avenue,,MOUNT LAWLEY,WA,6050,Metropolitan East,Residential,14,,,,Atlanta Investments Pty Ltd & Kamina Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$1,115,671"
Semaphore Residential Care Centre,122 ESPLANADE,,SEMAPHORE,SA,5019,Metropolitan West,Residential,46,,,,Rosha Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,748,144"
Senses Disability Aged Care Pilot,11 Kitchener Avenue,,BURSWOOD,WA,6100,Metropolitan South East,Innovative Pool,9,,,,Senses Foundation (Incorporated),Charitable,Major Cities of Australia,"$295,543"
Serene Residential Care Services,1 Myzantha Street,,LOCKLEYS,SA,5032,Metropolitan West,Residential,43,,,,Blu Dawn Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,013,023"
Services For Seniors - Tweed Heads CACP,Suite 9,32 Bay Street,TWEED HEADS,NSW,2485,Far North Coast,Home Care Places,,25,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,"$264,033"
Servite Villa,184 Edinboro Street,,JOONDANNA,WA,6060,Metropolitan North,Residential,32,,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,"$1,639,807"
Setac CACP Service,19 Mary Street,,CYGNET,TAS,7112,Southern,Home Care Places,,20,,,South East Tasmanian Aboriginal Corporation,Community Based,Outer Regional Australia,"$275,611"
Seven Hills Nursing Home,1 Crews Road,,SEVEN HILLS,NSW,2147,Western Sydney,Residential,104,,,,Seven Hills Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,821,383"
Seymour District Nursing Home, BRETONNEUX STREET,,SEYMOUR,VIC,3660,Hume,Residential,30,,,,Seymour District Memorial Hospital,State Government,Inner Regional Australia,"$1,516,179"
Shalom Care Services,121 Maloney Street,,KAWANA,QLD,4701,Fitzroy,Residential,65,,,,The Baptist Union of Queensland,Religious,Inner Regional Australia,"$3,391,778"
Shangri-La Nursing Home,107 Carrington Avenue,,HURSTVILLE,NSW,2220,South East Sydney,Residential,53,,,,Erma Nominees Pty Ltd & Milgerd Nominees Pty Ltd,Private Non-Incorporated Entity,Major Cities of Australia,"$2,797,314"
Share And Care Community Services Group Inc - Home Support Services,88 Wellington Street,,NORTHAM,WA,6401,Wheatbelt,Home Care Places,,33,,,Share & Care Community Services Group Incorporated,Charitable,Inner Regional Australia,"$430,586"
Sheoak Lodge, TOWERS ROAD,,MILLICENT,SA,5280,South East,Residential,60,,,,Country Health SA Local Health Network Incorporated,State Government,Outer Regional Australia,"$3,475,755"
Shepparton Aged Care,29-35 Pine Road,,SHEPPARTON,VIC,3630,Hume,Residential,62,,,,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$3,380,760"
Shepparton Villages Home Care & Support Services,9 Batman Avenue,,SHEPPARTON,VIC,3630,Hume,Home Care Places,,19,7,,Shepparton Retirement Villages Inc,Charitable,Inner Regional Australia,"$375,855"
Sherbrooke Private Nursing Home,18 Tarana Avenue,,UPPER FERNTREE GULLY,VIC,3156,Eastern Metro,Residential,45,,,,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,248,467"
Sheridan Hall Brighton,10 Marion Street,,BRIGHTON,VIC,3186,Southern Metro,Residential,35,,,,Sapphire Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$866,795"
Shire of Kalamunda CACP,12 Anderson Road,,FORRESTFIELD,WA,6058,Metropolitan East,Home Care Places,,20,,,Shire of Kalamunda,Local Government,Major Cities of Australia,"$195,512"
Shire Of Wagin,2 Arthur Road,,WAGIN,WA,6315,Wheatbelt,Home Care Places,,4,,,Shire Of Wagin,Local Government,Outer Regional Australia,"$28,385"
Shoalhaven Aboriginal Aged & Disability Care Services,55 Judith Drive,,NORTH NOWRA,NSW,2541,Illawarra,Home Care Places,,45,,,Illaroo Co-operative Aboriginal Corporation,Community Based,Inner Regional Australia,"$596,118"
Shoalhaven Transitional Aged Care Service,18 SHOALHAVEN Street,,NOWRA,NSW,2541,Illawarra,Transition Care,,,,30,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,"$1,919,331"
Shoreham House - Aged Care Home,3905 Frankston Flinders Road,,SHOREHAM,VIC,3916,Southern Metro,Residential,60,,,,Buehler Aged Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$2,839,384"
Silver Chain East Metropolitan HCP Level 2,1938 Albany Highway,,MADDINGTON,WA,6109,Metropolitan East,Home Care Places,,20,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,"$272,832"
Silver Chain East Metropolitan HCP Level 4,19 WRIGHT Street,,PERTH,WA,6000,Metropolitan East,Home Care Places,,,30,,Silver Chain Group Limited,Charitable,Major Cities of Australia,"$1,453,063"
Silver Chain Goldfields HCP Level 2,19 York Street,,BOULDER,WA,6432,Goldfields,Home Care Places,,14,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,"$127,252"
Silver Chain Goldfields HCP Level 4,19 York Street,,BOULDER,WA,6432,Goldfields,Home Care Places,,,26,,Silver Chain Group Limited,Charitable,Outer Regional Australia,"$425,259"
Silver Chain Great Southern HCP Level 2,91 Seymour Street,,MIRA MAR,WA,6330,Great Southern,Home Care Places,,71,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,"$441,488"
Silver Chain Great Southern HCP Level 3,91 Seymour Street,,MIRA MAR,WA,6330,Great Southern,Home Care Places,,,5,,Silver Chain Group Limited,Charitable,Outer Regional Australia,n.a.
Silver Chain Great Southern HCP Level 4,91 Seymour Street,,MIRA MAR,WA,6330,Great Southern,Home Care Places,,,50,,Silver Chain Group Limited,Charitable,Outer Regional Australia,"$1,514,920"
Silver Chain Mid West HCP Level 2,"Suite 2, 114 Sanford Street",,GERALDTON,WA,6530,Mid West,Home Care Places,,86,,,Silver Chain Group Limited,Charitable,Outer Regional Australia,"$117,768"
Silver Chain Mid West HCP Level 3,"Suite 2, 114 Sanford Street",,GERALDTON,WA,6530,Mid West,Home Care Places,,,5,,Silver Chain Group Limited,Charitable,Outer Regional Australia,n.a.
Silver Chain Mid West HCP Level 4,"Suite 2, 114 Sanford Street",,GERALDTON,WA,6530,Mid West,Home Care Places,,,37,,Silver Chain Group Limited,Charitable,Outer Regional Australia,"$1,086,469"
Silver Chain North Metropolitan HCP Level 2,11 Moolanda Boulevard,,KINGSLEY,WA,6026,Metropolitan North,Home Care Places,,16,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,n.a.
Silver Chain North Metropolitan HCP Level 4,11 Moolanda Boulevard,,KINGSLEY,WA,6026,Metropolitan North,Home Care Places,,,55,,Silver Chain Group Limited,Charitable,Major Cities of Australia,"$2,544,978"
Silver Chain Pilbara HCP Level 2,18 Logue Court,,SOUTH HEDLAND,WA,6722,Pilbara,Home Care Places,,49,,,Silver Chain Group Limited,Charitable,Remote Australia,"$95,256"
Silver Chain Pilbara HCP Level 4,20 Logue Court,,SOUTH HEDLAND,WA,6722,Pilbara,Home Care Places,,,14,,Silver Chain Group Limited,Charitable,Remote Australia,"$227,411"
Silver Chain South East Metropolitan HCP Level 2,1938 Albany Highway,,MADDINGTON,WA,6109,Metropolitan South East,Home Care Places,,66,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,"$588,406"
Silver Chain South East Metropolitan HCP Level 4,Maddington Service Centre,1938 Albany Highway,MADDINGTON,WA,6109,Metropolitan South East,Home Care Places,,,30,,Silver Chain Group Limited,Charitable,Major Cities of Australia,"$1,428,383"
Silver Chain South West HCP Level 2,1 Mitchell Crescent,,CAREY PARK,WA,6230,South West,Home Care Places,,138,,,Silver Chain Group Limited,Charitable,Inner Regional Australia,"$1,246,286"
Silver Chain South West HCP Level 3,1 Mitchell Crescent,,CAREY PARK,WA,6230,South West,Home Care Places,,,5,,Silver Chain Group Limited,Charitable,Inner Regional Australia,n.a.
Silver Chain South West HCP Level 4,1 Mitchell Crescent,,CAREY PARK,WA,6230,South West,Home Care Places,,,30,,Silver Chain Group Limited,Charitable,Inner Regional Australia,"$1,369,068"
Silver Chain South West Metropolitan HCP Level 2,81 North Lake Road,,MYAREE,WA,6154,Metropolitan South West,Home Care Places,,152,,,Silver Chain Group Limited,Charitable,Major Cities of Australia,"$1,927,786"
Silver Chain South West Metropolitan HCP Level 4,72 Lakes Road,,GREENFIELDS,WA,6210,Metropolitan South West,Home Care Places,,,36,,Silver Chain Group Limited,Charitable,Major Cities of Australia,"$1,692,238"
Silver Chain Wheatbelt HCP Level 2,84 Newcastle Road,,NORTHAM,WA,6401,Wheatbelt,Home Care Places,,42,,,Silver Chain Group Limited,Charitable,Inner Regional Australia,"$285,405"
Silver Chain Wheatbelt HCP Level 3, STIRLING TERRACE,,TOODYAY,WA,6566,Wheatbelt,Home Care Places,,,8,,Silver Chain Group Limited,Charitable,Inner Regional Australia,n.a.
Silver Chain Wheatbelt HCP Level 4,92 Stirling Terrace,,TOODYAY,WA,6556,Wheatbelt,Home Care Places,,,27,,Silver Chain Group Limited,Charitable,Inner Regional Australia,"$515,824"
Simpkin House Nursing Home,8 GIBSON Street,,NORTH BENDIGO,VIC,3550,Loddon-Mallee,Residential,40,,,,Bendigo Health Care Group,State Government,Inner Regional Australia,"$2,011,049"
Sinnamon Village - Jacobs Court,620 Seventeen Mile Rocks Road,,SINNAMON PARK,QLD,4073,Brisbane South,Residential,51,,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,"$3,270,110"
Sinnamon Village - Kentish Court,620 Seventeen Mile Rocks Road,,SINNAMON PARK,QLD,4073,Brisbane South,Residential,103,,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,"$6,548,373"
Sinnamon Village - Knowles Court,620 Seventeen Mile Rocks Road,,SINNAMON PARK,QLD,4073,Brisbane South,Residential,53,,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,"$3,175,142"
Sinnamon Village - Nash Court,620 Seventeen Mile Rocks Road,,SINNAMON PARK,QLD,4073,Brisbane South,Residential,49,,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,"$3,313,049"
Sinnamon Village - Reid Court,620 Seventeen Mile Rocks Road,,SINNAMON PARK,QLD,4073,Brisbane South,Residential,52,,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,"$3,432,454"
Sinnamon Village - William Moore Court,620 Seventeen Mile Rocks Road,,SINNAMON PARK,QLD,4073,Brisbane South,Residential,56,,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,"$4,019,241"
Sir James Terrace,11 Stamp Street,,DECEPTION BAY,QLD,4508,Cabool,Residential,77,,,,SJT Aged Care Services Pty Limited,Private Incorporated Body,Major Cities of Australia,"$4,557,126"
Sir Joseph Banks Aged Care Facility,31-33 Edgehill Avenue,,BOTANY,NSW,2019,South East Sydney,Residential,170,,,,Bisaxa Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$11,533,354"
Sir Leslie Morshead Manor,26 Archibald Street,,LYNEHAM,ACT,2602,ACT,Residential,79,,,,Morshead Home for Veterans and Aged Persons Inc,Charitable,Major Cities of Australia,"$4,004,926"
Sir Thomas Mitchell Residential Care Facility,351 Fowler Road,,ILLAWONG,NSW,2234,South East Sydney,Residential,125,,,,Farad Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$8,854,190"
Sir William Hall Hostel,61 EDWIN Street,,HEIDELBERG HEIGHTS,VIC,3081,Northern Metro,Residential,50,,,,Vasey RSL Care Ltd,Community Based,Major Cities of Australia,"$2,180,893"
Sir William Hudson Memorial Centre,8 Fachin Avenue,,COOMA,NSW,2630,Southern Highlands,Residential,72,,,,Sir William Hudson Memorial Centre Ltd,Community Based,Inner Regional Australia,"$3,156,498"
Sirius Cove Nursing Home,17 Clanalpine Street,,MOSMAN,NSW,2088,Northern Sydney,Residential,55,,,,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,905,852"
Sister Dorothea Village,252 Johnston Street,,ANNANDALE,NSW,2038,Inner West,Residential,83,,,,St Basil's Homes,Charitable,Major Cities of Australia,"$3,316,898"
Skipton Hostel,4 Blake Street,,SKIPTON,VIC,3361,Barwon-South Western,Residential,9,,,,Beaufort & Skipton Health Service,State Government,Inner Regional Australia,"$381,099"
Skipton Nursing Home,4 Blake Street,,SKIPTON,VIC,3361,Barwon-South Western,Residential,11,,,,Beaufort & Skipton Health Service,State Government,Inner Regional Australia,"$536,565"
Smithfield Residential Care Centre,1 Warooka Drive,,SMITHFIELD,SA,5114,Metropolitan North,Residential,74,,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,233,606"
Smorgon Nursing Home,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Residential,90,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,"$6,770,583"
Snowy River Home Living Support,74 JINDABYNE Road,,BERRIDALE,NSW,2628,Southern Highlands,Home Care Places,,18,,,Snowy River Shire Council,Local Government,Outer Regional Australia,"$218,988"
Snowy River Hostel,1 Jindalee Street,,BERRIDALE,NSW,2628,Southern Highlands,Residential,14,,,,Snowy River Shire Council,Local Government,Outer Regional Australia,"$297,816"
Snug Village,10A Torpy Avenue,,SNUG,TAS,7054,Southern,Residential,54,,,,Christian Homes Tasmania Inc.,Charitable,Inner Regional Australia,"$3,544,514"
SomerCare,22 Graf Road,,SOMERVILLE,VIC,3912,Southern Metro,Residential,130,,,,Somerville Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,011,364"
Somerton Residential Care Centre,6 Grainger Road,,SOMERTON PARK,SA,5044,Metropolitan South,Residential,104,,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,808,778"
